codigo_SGO,Identificacao_OAE,UF,Rodovia_(BR),km,Extensao_(m),Largura_(m),Tipo_Estrutura,Latitude,Longitude,Nota_Atual_SGO_(2021),Visita_SR_(Data_Realizada),Data_Inspecao_Realizada,Visita_na_OAE,Faixa_Extensao_OAE,Corredor,Obs.:,Tipo_Inspecao 
150238,"Ponte km 122,97",MA,135,"122,97","7,3","8,15",Viga de concreto armado,-3.54111667,-44.56825,"2",20/01/2026,,06/04/2026,OAE<=20m (A1),5,"Alto nível d’água, sem acesso",InR
150147,"Ponte km 128,96",MA,135,"128,96","11,4","8,2",Viga de concreto armado,-3.58413333,-44.57533333,"3",20/01/2026,,06/04/2026,OAE<=20m (A1),5,"Alto nível d’água, sem acesso",InR
150122,"Ponte km 129,66",MA,135,"129,66","11,6","8,4",Viga de concreto armado,-3.58986667,-44.57251667,"2",20/01/2026,,06/04/2026,OAE<=20m (A1),5,"Alto nível d’água, sem acesso",InR
150123,"Ponte km 131,51",MA,135,"131,51","11,4","8,25",Viga de concreto armado,-3.60478333,-44.5652,"3",20/01/2026,06/04/2026,,OAE<=20m (A1),5,,InR
150232,Ponte sobre o Riacho Cachoeira,MA,230,"310,74","70","8,67",Viga de concreto armado,-7.00326667,-45.45163333,"4",20/01/2026,06/04/2026,,60>OAE<=120m (A3),13,,InR
260052,Ponte sobre o Igarapé Tamandaré,RR,174,"269","30","10",Viga de concreto armado,1.3056,-60.56905,"4",05/02/2026,06/04/2026,,20<OAE<=60m (A2),2,,InR
260007,Ponte sobre o Igarapé Caleffi,RR,174,"281,7","15","9,9",Viga de concreto armado,1.39191667,-60.64378333,"4",05/02/2026,06/04/2026,,OAE<=20m (A1),2,,InR
230117,Ponte sobre o Córrego Chiqueiro,TO,10,"157,98","50","9,8",Viga de concreto armado,-12.08021667,-47.75091667,"4",05/02/2026,06/04/2026,,20<OAE<=60m (A2),3,,InR
230116,Ponte sobre o Córrego Santo Inácio,TO,10,"168,95","36","9,8",Viga de concreto armado,-12.00781667,-47.68795,"4",05/02/2026,06/04/2026,,20<OAE<=60m (A2),3,,InR
150124,"Ponte km 135,09",MA,135,"135,09","11,4","8,1",Viga de concreto armado,-3.63383333,-44.55103333,"3",20/01/2026,07/04/2026,,OAE<=20m (A1),5,,InR
150125,Ponte sobre o Igarapé Jundiaí,MA,135,"137,82","16,3","7,8",Viga de concreto armado,-3.65605,-44.54015,"2",20/01/2026,07/04/2026,,OAE<=20m (A1),5,,InR
150234,"Pontilhão km 142,61",MA,135,"142,61","6,15","8,58",Arco inferior de concreto armado,-3.695,-44.5211,"3",20/01/2026,07/04/2026,,OAE<=20m (A1),5,,InR
150126,Ponte sobre o Riacho Pau Santo,MA,135,"143,64","11,56","8,2",Viga de concreto armado,-3.70356667,-44.51771667,"2",20/01/2026,,07/04/2026,OAE<=20m (A1),5,"Alto nível d’água, sem acesso",InR
150148,Ponte sobre o Braço do Riacho Barro Branco,MA,135,"148,11","10,9","8,37",Viga de concreto armado,-3.74326667,-44.51036667,"2",20/01/2026,07/04/2026,,OAE<=20m (A1),5,,InR
150174,Ponte sobre o Rio Neves,MA,230,"317,8","70","8,6",Viga de concreto armado,-7.03711667,-45.50091667,"4",20/01/2026,07/04/2026,,60>OAE<=120m (A3),13,,InR
150036,Ponte sobre o Ribeirão do Riachão,MA,230,"362,62","30","8,6",Viga de concreto armado,-7.21946667,-45.85095,"4",20/01/2026,07/04/2026,,20<OAE<=60m (A2),13,,InR
230124,Ponte sobre o Córrego Areias,TO,10,"176,25","58,3","9,8",Viga de concreto armado,-11.97505,-47.64263333,"4",05/02/2026,07/04/2026,,20<OAE<=60m (A2),3,,InR
230081,Ponte sobre o Rio Manoel Alves,TO,10,"186,2","123,5","9",Viga de concreto armado,-11.903,-47.60175,"3",05/02/2026,07/04/2026,,120<OAE<=500m (A4),3,,InR
150149,"Ponte km 150,43",MA,135,"150,43","10,8","7,53",Viga de concreto armado,-3.76425,-44.50986667,"3",20/01/2026,08/04/2026,,OAE<=20m (A1),5,,InR
