NOME;LONGITUDE;LATITUDE;MAIS_SECO
ITAPEIM;-38,116667;-4,35;SETEMBRO-OUTUBRO-NOVEMBRO
PACOTI;-38,916667;-4,216667;SETEMBRO-OUTUBRO-NOVEMBRO
ACARAP+;-38,7;-4,216667;SETEMBRO-OUTUBRO-NOVEMBRO
CAPISTRANO;-38,9;-4,466667;SETEMBRO-OUTUBRO-NOVEMBRO
CAIO PRADO;-38,943333;-4,6575;SETEMBRO-OUTUBRO-NOVEMBRO
PACAJUS;-38,466667;-4,183333;SETEMBRO-OUTUBRO-NOVEMBRO
QUIXAD-;-39,033333;-4,966667;SETEMBRO-OUTUBRO-NOVEMBRO
PARAMOTI;-39,25;-4,083333;SETEMBRO-OUTUBRO-NOVEMBRO
CARIDADE;-39,183333;-4,233333;SETEMBRO-OUTUBRO-NOVEMBRO
MULUNGU;-38,983333;-4,3;SETEMBRO-OUTUBRO-NOVEMBRO
UBIRAÃU;-39,616667;-4,416667;SETEMBRO-OUTUBRO-NOVEMBRO
ARATUBA;-39,05;-4,416667;SETEMBRO-OUTUBRO-NOVEMBRO
ITATIRA;-39,616667;-4,533333;SETEMBRO-OUTUBRO-NOVEMBRO
CANIND+;-39,3;-4,35;SETEMBRO-OUTUBRO-NOVEMBRO
RERIUTABA;-40,583333;-4,15;AGOSTO-SETEMBRO-OUTUBRO
CARNAUBAL;-40,95;-4,166667;AGOSTO-SETEMBRO-OUTUBRO
CROAT-;-40,911944;-4,415556;AGOSTO-SETEMBRO-OUTUBRO
TAMBORIL;-40,333333;-4,833333;AGOSTO-SETEMBRO-OUTUBRO
CATUNDA;-40,2;-4,666667;AGOSTO-SETEMBRO-OUTUBRO
IPUEIRAS;-40,716667;-4,533333;AGOSTO-SETEMBRO-OUTUBRO
NOVA RUSSAS;-40,566667;-4,716667;AGOSTO-SETEMBRO-OUTUBRO
PORANGA;-40,916667;-4,733333;AGOSTO-SETEMBRO-OUTUBRO
GRAÃA;-40,75;-4,05;AGOSTO-SETEMBRO-OUTUBRO
GUARACIABA DO NORTE;-40,75;-4,183333;AGOSTO-SETEMBRO-OUTUBRO
